Scenario	Replication	[CustomerLeaving].NumberProcessed		[G4OrderTakingOp1].UnitsInUseAverage/[G4OrderTakingOp1].Capacity		[G4OrderTakingOp2].UnitsInUseAverage/[G4OrderTakingOp2].Capacity		[OrderDistribuOpe1].UnitsInUseAverage/[OrderDistribuOpe1].Capacity		[OrderDistribuOpe2].UnitsInUseAverage/[OrderDistribuOpe2].Capacity		[TATowardsExit].NumberProcessed		[DineInQ].NumberProcessed		[CustomerExit].NumberProcessed	
1	1	0.0		0.3543349683950616		0.0		0.32161827416666655		0.0		42.0		96.0		138.0	
1	2	0.0		0.4593881639506173		0.0		0.3604991221296299		0.0		49.0		100.0		149.0	
1	3	0.0		0.4543407988580245		0.0		0.42180055935185223		0.0		57.0		84.0		141.0	
1	4	0.0		0.3526244393209879		0.0		0.2507933549074071		0.0		39.0		88.0		127.0	
1	5	0.0		0.5231841025308646		0.0		0.4096694149382715		0.0		59.0		91.0		150.0	
1	6	0.0		0.31230012021604936		0.0		0.2630790259567901		0.0		35.0		95.0		130.0	
1	7	0.0		0.46217892635802466		0.0		0.3753484227469136		0.0		52.0		94.0		146.0	
1	8	0.0		0.48401457262345715		0.0		0.41452547151234526		0.0		56.0		81.0		137.0	
1	9	0.0		0.4860085833641978		0.0		0.43918459524691356		0.0		55.0		87.0		142.0	
1	10	0.0		0.47794056703703747		0.0		0.4075622032407406		0.0		54.0		91.0		145.0	
1		0.0	0.0	0.4366315242654322	0.05038469096392457	0.0	0.0	0.36640804441975305	0.04793084152493138	0.0	0.0	49.80000000000001	5.944657648679189	90.7	4.1579528087750095	140.5	5.471048107995395
